,song,artist,text
Baby, I'm dancing in the dark with you between my arms
Barefoot on the grass, listening to our favourite song
When you said you looked a mess, I whispered underneath my breath
But you heard it, darling, you look perfect tonight

[Verse 2]
Well I found a woman, stronger than anyone I know
She shares my dreams, I hope that someday I'll share her home
I found a love, to carry more than just my secrets
To carry love, to carry children of our own
We are still kids, but we're so in love
Fighting against all odds
I know we'll be alright this time
Darling, just hold my hand
Be my girl, I'll be your man
I see my future in your eyes

[Chorus 2]
Baby, I'm dancing in the dark, with you between my arms
Barefoot on the grass, listening to our favorite song
When I saw you in that dress, looking so beautiful
I don't deserve this, darling, you look perfect tonight

[Instrumental]

[Chorus 3]
Baby, I'm dancing in the dark, with you between my arms
Barefoot on the grass, listening to our favorite song
I have faith in what I see
Now I know I have met an angel in person
And she looks perfect
I don't deserve this
You look perfect tonight"
5,Do You Mind,"DJ Khaled Featuring Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross","[Intro: DJ Khaled]
Another one
We The Best Music!

[Verse 1: Nicki Minaj]
Yo, he ain't messin' with no average chick, pop, pop
He got Nicki, he know that he hit the jackpot
Every baller tryna score, check them shot clocks
But I hit 'em with them 'Bron-Iguodala blocks
Eat the cake and he suck on my toes, yes
Hittin' them home runs, I be like ""Go Mets!""
I want a dude that still kiss me when he mad
Type to cop me diamonds, he can miss me with them bags

[Pre-Chorus: August Alsina, Chris Brown & DJ Khaled]
Girl, we been right here, thinkin' 'bout it all night (Oh)
Baby, you should be up in my bed, ooh
Do you mind, do you mind? Baby, you (DJ Khaled)
Do you mind? Do-do you mind? Do you mind?

[Chorus: Chris Brown & August Alsina]
I'm just tryna get to know ya
Get a little closer, maybe post up, ooh
Do you mind? Do you mind? Do you mind?
Do you mind? Do-do you mind? Do you mind?
Girl, we been right here, thinkin' 'bout it all night (Oh)
Baby, you should be up in my bed, ooh
Do you mind, do you mind? Baby, you
Do you mind? Do-do you mind? Do you mind?

[Post-Chorus: Chris Brown, w/ Jeremih & w/ August Alsina]
You know, you know, you know, you know
He ain't got forever and ever
You know, you know, you know, you know
Let me be the one, baby, you deserve better
You know, you know, you know, you know
We ain't got forever and ever
You know, you know, you know, you know
Let me be the one, baby, do you mind? Do you mind?

[Verse 2: August Alsina]
Oh, do you mind if I talk to you?
And do you mind if I touch you there?
Girl, you know you can't do no better, baby
I know that it don't get no better than me
Let's not waste the time
You ain't gotta hold back (Hold back) 'cause once I get inside
You won't change your mind, you know that you can take it
No need to hesitate, I need it, impatient (Yeah)
I'm not used to waiting (Yeah, yeah), I want you to give it to me
Come on let me taste it, until I get enough
Hope you're ready 'cause I'ma beat it up
Do you mind when I'ma have it? Know how to heat it up, yeah

[Verse 3: Jeremih]
I should, I should be the one, baby, you gon' learn that
Girl, I know your body, know where every curve at
We be going all night, 'til the early
Know you, know you wanna take off when you on my runway
We ain't gotta talk, bodies conversate
Baby, by the way I touch you, you know what I'm saying
Oh, oh, oh, ride it slow
Oh, oh, oh

[Chorus: Chris Brown & August Alsina]
I'm just tryna get to know ya
Get a little closer, maybe post up, ooh
Do you mind? Do you mind? Do you mind?
Do you mind? Do-do you mind? Do you mind?
Girl, we been right here, thinkin' 'bout it all night (Oh)
Baby, you should be up in my bed, ooh
Do you mind, do you mind? Baby, you
Do you mind? Do-do you mind? Do you mind?

[Post-Chorus: Chris Brown, w/ Jeremih & Future]
You know, you know, you know, you know
He ain't got forever and ever
You know, you know, you know, you know
Let me be the one, baby, you deserve better
You know, you know, you know, you know
We ain't got forever and ever
You know, you know, you know, you know
Let me be the one, baby, do you mind? Do you mind?
Man with all this red carpet shit, baby
You know what I'm saying, Future Hendrix

[Verse 4: Future & Rick Ross]
I'ma do that favor, drippin' flavor in you two piece
I'ma keep my promise, never treat you like a groupie
Calamari dinners, got you eatin' raw sushi
Still in the trap, but I like my bitches bougie
Two cups of styrofoam, excuse me lil' mama
I can hold you down, be your friend and your lover (Brrrp)
You want watches, new Versaces, you want Céline (Ugh!)
Top back, screamin' money ain't a ting (Boss)

[Verse 5: Rick Ross]
Seein' two G-wagons in my driveway (Woo!)
FaceTime, two black bottles by my fireplace (Ugh!)
Fell out with your peoples so you took the pictures down (Yeah)
Instagram ain't been the same since you so distant now (Woo!)
Took you shoppin' in other places that I won't name (Boss)
First time your friends really got to see Balmain (Woo!)
20 million cash, seen it there with my two eyes (Ugh!)
We the best and I told you this back in '05
(Maybach Music)

[Chorus: Chris Brown & August Alsina]
I'm just tryna get to know ya
Get a little closer, maybe post up, ooh
Do you mind? Do you mind? Do you mind?
Do you mind? Do-do you mind? Do you mind?
Girl, we been right here, thinkin' 'bout it all night (Oh)
Baby, you should be up in my bed, ooh
Do you mind, do you mind? Baby, you
Do you mind? Do-do you mind? Do you mind?

[Bridge: Nicki Minaj]
Ooh, just in case you need me, I don't mind, uh
Yo, tell them what to do, tell them what to do
Tell them what to do
When you see a bad bitch in front of you, baby
Yeah, assume the position

[Chorus: Chris Brown & August Alsina]
I'm just tryna get to know ya
Get a little closer, maybe post up, ooh
Do you mind? Do you mind? Do you mind?
Do you mind? Do-do you mind? Do you mind?
Girl, we been right here, thinkin' 'bout it all night (Oh)
Baby, you should be up in my bed, ooh
Do you mind, do you mind? Baby, you
Do you mind? Do-do you mind? Do you mind?"
6,Black Beatles,Rae Sremmurd Featuring Gucci Mane,"[Intro: Swae Lee & Gucci Mane]
Black Beatles in the city
Be back immediately to confiscate the moneys
(Ear Drummers)
Rae Sremm, Guwop, Mike WiLL!
I sent flowers, but you said you didn't receive 'em
But you said you didn't need 'em (Mike WiLL!)

[Chorus: Swae Lee]
That girl is a real crowd pleaser
Small world, all her friends know of me
Young bull livin' like an old geezer
Quick release the cash, watch it fall slowly
Frat girls still tryna get even
Haters mad for whatever reason
Smoke in the air, binge drinking
They lose it when the DJ drops the needle

[Verse 1: Swae Lee]
Getting so gone I'm not blinkin'
What in the world was I thinkin'?
New day, new money to be made
There is nothin' to explain
I'm a fuckin' black Beatle, cream seats in the Regal
Rockin' John Lennon lenses, like to see ‘em spread eagle
Took a bitch to the club and let her party on the table
Screamin', ""Everybody's famous!""
Like clockwork, I blow it all
And get some more
Get you somebody that can do both
Black Beatles got the babes belly rollin'
She think she love me, I think she trollin'

[Chorus: Swae Lee]
That girl is a real crowd pleaser
Small world, all her friends know of me
Young bull livin' like an old geezer
Quick release the cash, watch it fall slowly
Frat girls still tryna get even
Haters mad for whatever reason
Smoke in the air, binge drinkin'
They lose it when the DJ drops the needle

[Verse 2: Gucci Mane]
Came in with two girls, look like strippers in their real clothes
A broke ho can only point me to a rich ho
A yellow bitch with green hair, a real weirdo
Black man, yellow Lamb', red light go
They seen that Guwop and them just came in through the side door
There's so much money on the floor we buyin' school clothes
Why you bring the money machine to the club for?
Pint of lean, pound of weed, and a kilo
I Eurostep past a hater like I'm Rondo
I upgrade your baby mama to a condo
Like Chapo servin' yayo to the gringos
Black Beatle, club close when I say so

[Chorus: Swae Lee]
That girl is a real crowd pleaser
Small world, all her friends know of me
Young bull livin' like an old geezer
Quick release the cash, watch it fall slowly
Frat girls still tryna get even
Haters mad for whatever reason
Smoke in the air, binge drinkin'
They lose it when the DJ drops the needle

[Verse 3: Slim Jxmmi]
She's a good teaser, and we blowin' reefer
Your body like a work of art, baby
Don't fuck with me, I'll break your heart, baby
D&G on me, I got a lot of flavor
15 hundred on my feet, I'm tryna kill these haters
I had haters when I was broke, I'm rich, I still got haters
I had hoes when I was broke, I'm rich, I'm still a player
I wear leather Gucci jackets like it's still the 80s
I've been blowin' OG Kush, I feel a lil' sedated
I can't worry about a broke nigga or a hater
Black Beatle, bitch, me and Paul McCartney related

[Chorus: Swae Lee]
That girl is a real crowd pleaser
Small world, all her friends know of me
Young bull livin' like an old geezer
Quick release the cash, watch it fall slowly
Frat girls still tryna get even
Haters mad for whatever reason
Smoke in the air, binge drinkin'
They lose it when the DJ drops the needle"
7,Rockstar,Post Malone Featuring 21 Savage,"[Intro]
Hahahahaha
Tank God

[Chorus: Post Malone]
Ja, ich habe Schlampen gefickt und Pillen geschluckt
Mann, ich fühle mich so wie ein Rockstar (Star)
Ja, ja, all meine Brüder haben Gas
Und sind immer am Rauchen wie ein Rasta
Ficken mit mir, ruf eine Uzi herbei
Und tauchen auf, nenn sie Shottas
Wenn meine Freunde in deinem Block vorfahren
Lassen sie ""grrra-ta-ta-ta"" aus dem Ding erklingen (pow, pow, pow, ja, ja)

[Part 1: Post Malone]
Wechsel' meine Karre, kam in schwarz zurück
Ich fange an zu sagen: „Ruhe in Frieden, Bon Scott“ (ja)
Schließ die Tür, wir pusten Rauch
Sie fragt mich nach Feuer als wäre ich Morrison (ja)
Benehme mich wie ein Idiot auf der Bühne
Vermutlich verlasse ich meine verdammte Show in einem Streifenwagen (ja)
Der Scheiß war legendär
Habe einen Fernseher aus dem Fenster des Montage geworfen
Kokain auf dem Tisch, Alkohol fließt, ist mir egal
Alter, deine Freundin ist ein Groupie, sie versucht nur, reinzukommen
Indem sie sagt: „Ich gehöre zur Band“ (ja)
Jetzt spielt sie unerreichbar, versucht mir in die Hose zu greifen
Hundert Schlampen in meinem Anhänger sagen, sie hätten keinen Mann
Und sie alle haben eine Freundin dabei (yeah, ja, ja, ja)

[Chorus: Post Malone]
Ja, ich habe Schlampen gefickt und Pillen geschluckt
Mann, ich fühle mich so wie ein Rockstar (Star)
Ja, ja, all meine Brüder haben Gas
Und sind immer am rauchen wie ein Rasta
Ficken mit mir, ruf eine Uzi herbei
Und tauchen auf, nenn sie Shottas
Wenn meine Freunde in deinem Block vorfahren
Lassen sie ""grrra-ta-ta-ta"" aus dem Ding erklingen (pow, pow, pow, ja, ja)

[Part 2: 21 Savage]
Ich war in den Hills, fickte Superstars
Fühlte mich wie ein Popstar (21, 21, 21)
Trank Henny, miese Schlampen springen ins Schwimmbecken
Und sie haben keinen BH an (keinen BH)
Bumse sie von hinten, ziehe an ihren Extensions
Und jetzt schreit sie laut: „no más“ (yeah, yeah, yeah)
Sie sagen: „Savage, warum hast du eine Zwölf-Wagen-Garage und nur sechs Wagen?“ (21)
Ich bin nicht fürs Zusammenbacken, wie küsst man das?
Dein Frauchen sagt, ich sehe aus wie ganzer Snack (großer Snack)
Grüne Hunderter in meinem Safe, ich habe alte Geldstapel
L.A.-Schlampen fragen immer „Wo ist das Koks?“ (21, 21)
Lebe wie ein Rockstar, verschwinde in einem Streifenwagen
Süßer als ein Pop-Tart, du weißt, du bist nicht hart
Ich war in den beliebten Charts, weiß, dass ich früher heftig getrapt habe
Lebe wie ein Rockstar, ich lebe wie ein Rockstar (ja)

[Chorus: Post Malone]
Ja, ich habe Schlampen gefickt und Pillen geschluckt
Mann, ich fühle mich so wie ein Rockstar (Star)
Ja, ja, all meine Brüder haben Gas
Und sind immer am rauchen wie ein Rasta
Ficken mit mir, ruf eine Uzi herbei
Und tauchen auf, nenn sie Shottas
Wenn meine Freunde in deinem Block vorfahren
Lassen sie ""grrra-ta-ta-ta"" aus dem Ding erklingen (pow, pow, pow, ja, ja)

[Outro: Post Malone]
Star, Star, Rockstar, Rockstar, Star
Rockstar
Rockstar, fühle mich wie ein Rock...
Rockstar
Rockstar
Rockstar
Fühle mich wie ein"
8,Pills And Automobiles,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black","[Intro: Chris Brown]
Oww!

[Chorus: Chris Brown]
Wet, wet, wet, wet
Wet, wet, wet, wet
Wet, wet, wet, wet
Wet, wet, oh-oh baby

[Post-Chorus: Chris Brown]
Just tryna live your life
I'm just tryna change your life
Just tryna change your life
Oh-oh baby

[Verse 1: Chris Brown]
Bitch, you outta line, why you waste my time?
I'm tryna smoke, tryna get high, see it in my eyes
I know she playin' both sides, that bitch tellin' lies
But my dick give her a high, she down for the ride
Them hatin' bitches kill the vibe, fuck it, live your life
Bad bitches in Hawaii, umbrella with ice
10 bad bitches on my side, make 'em all my wife
Smokin' on the finest ganja, she like China white
Poppin' all these pills she said she used to it
She wanna go way up, okay baby, if you used to it
And I know that you a grown woman
And I know that you know what you're doing

[Chorus: Chris Brown & Yo Gotti]
Wet, wet, wet, wet (yeah)
Wet, wet, wet, wet (I-I-I, I am)
Wet, wet, wet, wet
Wet, wet, oh-oh baby

[Verse 2: Yo Gotti]
I'm a king, baby
You from the hood but you a queen, baby
Ass fat, it can't even fit in them jeans, baby
Matchin' Wraith with the stars, baby
I'm a street nigga, I'm supposed to really be behind bars, baby
Really wanna be faithful but this shit hard, baby
Yup, I got the pussy first and then I ignored you (Ignored you)
You fucked another nigga, you ain't loyal (Loyal)
I told you bring a friend, this shit gettin' borin' (Borin')
She asked me what we are, we just cordial
I'm a gangsta I can make a wet, wet turn into a pool (Splash)
She help me count the money in the trap then she go back to school (School, school, school)
If a nigga ever play with bae, shit it's breaking news (Pow)
She got 50 pointers on her neck, Pateks that's matchin' jewels

[Chorus: Chris Brown & Yo Gotti]
Wet, wet, wet, wet
Wet, wet, wet, wet (Ayy, yeah, yeah, ayy)
Wet, wet, wet, wet (Ayy, yeah, yeah, ayy)
Wet, wet, oh oh baby (Ayy, yeah, yeah, ayy)
Oh-oh baby (Ayy, yeah, yeah, ayy)

[Verse 3: A Boogie Wit Da Hoodie]
I just wanna show you off, I don't wanna do you wrong
Mirror mirror on the wall, who's the flyest of 'em all?
I get money when I want, I can fuck her if I want
Baby, you can take it off, I'm that nigga with the sauce (Ayy, yeah)
Whole lot of Saint Laurent, can't remember what it cost (Ayy, yeah)
Bitch, I'm feelin' like a boss, spit on it and lick it off (Ayy, yeah)
You know we can run it up, tell me what you really want
I know I can break you off, come here lemme break you off
If you ever wanna fuck, can I be the one you call?
If you wanna be a star, I can tell you what it cost
I was gonna put you on, I was gonna put you on
I was gonna change your life, girl but I don't wanna break your heart

[Chorus: Chris Brown]
Wet, wet, wet, wet
Wet, wet, wet, wet
Wet, wet, wet, wet
Wet, wet, oh-oh baby

[Post-Chorus: Chris Brown]
Just tryna live your life
I'm just tryna change your life
Just tryna change your life
Oh-oh baby

[Verse 4: Kodak Black]
I can change your whole sauce, you a lil' mo' spicy (Yeah)
Now you dealin' with a boss, I might treat you rightly (Nah)
No more Macy jewelry, baby, now you drippin' icy (Ayy)
You keep hangin' 'round me, baby, you'll start talkin' like me
Got my own lingo, I can change your whole lil' ego
I be swimmin' in the money, baby, whish torpedo
I ain't like these rapper niggas, they is not my stylo
I'ma call you back, I'm with my niggas shootin' cee-lo
I might change my old ways for you, baby
I can change your whole wave, now you wavey
Now you glamorous​​, I'm out your element
I'm too reckless for you, girl, it's evident

[Chorus: Chris Brown]
Wet, wet, wet, wet
Wet, wet, wet, wet
Wet, wet, wet, wet
Wet, wet, oh-oh baby

[Post-Chorus: Chris Brown]
Just tryna live your life
I'm just tryna change your life
Just tryna change your life
Oh-oh baby"
9,Lips Are Movin,Meghan Trainor,"[Intro]
If your lips are movin, If your lips are movin
If your lips are movin, then you’re lyin’, lyin’, lyin’, baby
If your lips are movin, If your lips are movin
If your lips are movin, I said you’re lyin’, lyin’, lyin’, baby

[Verse 1]
Boy, look at me in my face
Tell me that you’re not just about this bass
You really think I could be replaced
Nah, I come from outer space
And I'm a classy girl, I'mma hold it up
You're full of something but it ain't love
And what we got, straight overdue
Go find somebody new

[Pre-Chorus]
You can buy me diamond earrings and deny-ny-ny, ny-ny-ny, deny-ny
But I smell her on your collar so goodbye-bye-bye, bye-bye-bye

[Chorus]
I know you're lyin'
Cause your lips are movin'
Tell me, do you think I'm dumb?
I might be young, but I ain't stupid
Talking around in circles with your tongue
I gave you bass, you gave me sweet talk
Saying how I’m your number one
But I know you lie
Cause your lips are movin
Baby don't you know I'm done?

[Interlude]
If your lips are movin, If your lips are movin
If your lips are movin, then you’re lyin’, lyin’, lyin’, baby
If your lips are movin, If your lips are movin
If your lips are movin, I said you’re lyin’, lyin’, lyin’, baby

[Verse 2]
Hey baby don't you bring them tears
Cause it's too late, too late baby
You only love me when you're here
You're so two-faced, two-faced babe

[Pre-Chorus]
You can buy me diamond earrings and deny-ny-ny, ny-ny-ny, deny-ny
But I smell her on your collar so goodbye-bye-bye, bye-bye-bye

[Chorus]
I know you're lyin'
Cause your lips are movin'
Tell me, do you think I'm dumb?
I might be young, but I ain't stupid
Talking around in circles with your tongue
I gave you bass, you gave me sweet talk
Saying how I’m your number one
But I know you lie
Cause your lips are movin
Baby don't you know I'm done?

[Interlude]
If your lips are movin, If your lips are movin
If your lips are movin, then you’re lyin’, lyin’, lyin’, baby
If your lips are movin, If your lips are movin
If your lips are movin, then you’re lyin’, lyin’, lyin’, baby

[Chorus]
I know you're lyin'
Cause your lips are movin'
Tell me, do you think I'm dumb?
I might be young, but I ain't stupid
Talking around in circles with your tongue
I gave you bass, you gave me sweet talk
Saying how I’m your number one
But I know you lie
Cause your lips are movin
Baby don't you know I'm done?"
10,Closer,The Chainsmokers Featuring Halsey,"[Verse 1]
Hey, I was doing just fine before I met you
I drink too much
And that's an issue, but I'm okay
Hey, you tell your friends
It was nice to meet them
But I hope I never see them again

[Pre-Chorus 1]
I know it breaks your heart
Moved to the city in a broke-down car
And four years, no calls
Now you're lookin' pretty in a hotel bar
And I-I-I can't stop
No, I-I-I can't stop

[Chorus]
So, baby, pull me closer
In the backseat of your Rover
That I know you can't afford
Bite that tattoo on your shoulder
Pull the sheets right off the corner
Of the mattress that you stole
From your roommate back in Boulder
We ain't ever getting older

[Post-Chorus]
We ain't ever getting older
We ain't ever getting older

[Verse 2]
You look as good as the day I met you
I forget just why I left you, I was insane
Stay and play that Blink-182 song
That we beat to death in Tucson, okay

[Pre-Chorus 2]
I know it breaks your heart
Moved to the city in a broke-down car
And four years, no calls
Now I'm lookin' pretty in a hotel bar
And I-I-I can't stop
No, I-I-I can't stop

[Chorus]
So, baby, pull me closer
In the backseat of your Rover
That I know you can't afford
Bite that tattoo on your shoulder
Pull the sheets right off the corner
Of the mattress that you stole
From your roommate back in Boulder
We ain't ever getting older

[Post-Chorus]
We ain't ever getting older
We ain't ever getting older

[Chorus]
So, baby, pull me closer
In the backseat of your Rover
That I know you can't afford
Bite that tattoo on your shoulder
Pull the sheets right off the corner
Of the mattress that you stole
From your roommate back in Boulder
We ain't ever getting older

[Outro]
No, We ain't ever getting older
No, we ain't ever getting older
No, we ain't ever getting older
No, we ain't ever getting older
We ain't ever getting older
No, we ain't ever getting older"
11,Party,Chris Brown Featuring Usher & Gucci Mane,"[Intro: Usher & Chris Brown]
Oh, hey
Yeah, it's Breezy
Yeah, yeah, yeah

[Chorus: Chris Brown]
Pull up on your bitch, tell your man I'm sorry
Hundred on my wrist, jumpin' out the 'rari
Ooh, she hit the splits, she know how to party
When I'm with my clique, we know how to party
How to party, yeah, we know how to party
How to party, yeah, we know how to party
How to party, yeah, we know how to party
How to party, yeah, we know how to party

[Verse 1: Chris Brown]
Bitches dancin' naked in my livin' room
She straight out of college, just turned 22
Girl, get your money up, I ain't even mad at you
Got you all on me, makin' these niggas catchin' attitudes
Tell 'em don't start it, my niggas retarded
Fuck the judge and the sentence, huh, I got a good lawyer
I got a few girls on the way, baby girl, you ain't leavin'
It's my birthday with the cake, fuck it up, then let me eat it

[Chorus: Chris Brown]
Pull up on your bitch, tell your man I'm sorry
Hundred on my wrist, jumpin' out the 'rari
Ooh, she hit the splits, she know how to party
When I'm with my clique, we know how to party
How to party, yeah, we know how to party
How to party, yeah, we know how to party
How to party, yeah, we know how to party
How to party, yeah, we know how to party

[Verse 2: Usher]
Yeah, I just got the ring, I think I deserve a toast
Shout out to my team, we be out there doin' the most
Girl, come to my place, but don't bring no clothes
Let's be dirty babe, baby, drop it low
Pop rubber bands all on her ass, baby been eating her wheaties
All in the back, dishin' the cash, make me if you need it
I got a few girls on the way, baby girl, you ain't leavin'
It's my birthday with the cake, lick it all, let me eat it

[Chorus: Chris Brown]
Pull up on your bitch, tell your man I'm sorry
Hundred on my wrist, jumpin' out the 'rari
Ooh, she hit the splits, she know how to party
When I'm with my clique, we know how to party
How to party, yeah, we know how to party
How to party, yeah, we know how to party
How to party, yeah, we know how to party
How to party, yeah, we know how to party

[Verse 3: Gucci Mane]
It's party, party, party like a nigga just got out of jail
Flyin' in my 'rari like a bat that just flew outta hell
I'm from the east of ATL, but ballin' in the Cali hills
Lil mama booty boomin', that bitch movin' and she standin' still
I know these bitches choosin' me, but I got 80 on me still
I'm tryna fuck, who tryna chill? 'Cause I'm just tryna pay some bills
I'm multi millionare LaFlare, this watch here cost a quarter M
Just look at me and look at them, I smashed her on my first attempt
